,exp_var,imodulon_size,enrichment_category,system_category,functional_category,function,regulator,n_regs,pvalue,qvalue,f1score,precision,recall,TP,regulon_size,confidence,note,trn_enrich_max_regs,trn_enrich_evidence,trn_enrich_method,compute_regulon_evidence,single_gene_dominant_technical,tcs,regulon_discovery,ko,PRECISE 2.0,PRECISE 2.0_pearson,PRECISE 2.0_spearman,PRECISE,PRECISE_pearson,PRECISE_spearman
CpxR,0.0021876125954307657,53,Regulatory,Stress Responses,Envelope Stress,"Inner membrane damage sensing and repair via protein folding/degradation, chemotaxis, drug efflux, DNA repair, motility",CpxR,1.0,2.515545883006012e-25,4.520184397173503e-21,0.37254901960784315,0.3584905660377358,0.3877551020408163,19.0,68.0,5,,2.0,"[1, 2]",and,,False,True,False,False,CpxR,0.9419031201388959,0.7255262937485641,CpxR,0.6669527202512066,0.33481658057863467
EvgA,0.0019328254419214153,15,Regulatory,Stress Responses,Envelope Stress,"Glutamate-dependent acid response, drug resistance, alkali metals response",EvgA,1.0,3.8545754267781884e-29,6.924744754207015e-25,0.7500000000000001,0.8,0.7058823529411765,12.0,18.0,5,,2.0,"[1, 2]",and,,False,True,False,False,EvgA,0.9517964260258384,0.7132143756074509,EvgA,0.8239948879584572,0.4068268218677966
BasR,0.0013302764357293606,15,Regulatory,Stress Responses,Extracellular Structures,Lipid A modification and polymixin resistance in the presence of excess iron,BasR,1.0,1.9518322182926464e-18,1.2545206399854155e-13,0.4864864864864865,0.6,0.4090909090909091,9.0,22.0,4,,2.0,None,and,,False,True,False,False,BasR,0.8840560905340185,0.6725282905159274,,,
Magnesium,0.0013458395093458586,21,Regulatory,Stress Responses,Metal Homeostasis,Magnesium sensing and transport; magnesium-limitation response,PhoP,1.0,9.335837142539452e-15,1.67662299242866e-10,0.3902439024390244,0.38095238095238093,0.4,8.0,53.0,5,,2.0,"[1, 2]",and,,False,True,False,False,PhoP,0.7885620415802469,0.5828493430287484,,,
Zinc-2,0.0008267540018734865,1,Regulatory,Stress Responses,Metal Homeostasis,Tolerance to high zinc concentration,ZraR,1.0,0.0007047216349541931,,0.5,1.0,0.3333333333333333,1.0,9.0,5,,,,,"[1, 2]",False,True,False,False,ZraR,0.7616052076298325,0.5517669956432684,,,
Phosphate-1,0.0008951019590812681,8,Regulatory,Metabolism,Phosphate Metabolism,"Inorganic phosphate sensing, transport, and production",PhoB,1.0,1.183345274597704e-16,2.125051444122557e-12,0.2909090909090909,1.0,0.1702127659574468,8.0,60.0,5,,2.0,"[1, 2]",and,,False,True,False,False,PhoB-1,0.810186476142121,0.5417810820882364,,,
Potassium,0.0007862495619258558,5,Regulatory,Stress Responses,Metal Homeostasis,Potassium sensing and transport,KdpE,1.0,7.782988997400152e-10,1.5565977994800304e-09,0.7499999999999999,0.6,1.0,3.0,3.0,5,,1.0,"[1, 2]",and,,False,True,False,False,KdpE,0.8387040011513224,0.6626601752350267,,,
NtrC-2,0.0031823700618902606,10,Regulatory,Metabolism,Nitrogen Metabolism,"Nitrogen assimilation, ammonium transport",NtrC+RpoN,2.0,7.506455180087322e-15,1.9903363769099764e-10,0.27118644067796605,0.8,0.16326530612244897,8.0,49.0,4,,2.0,"[0, 1, 2]",and,,False,True,False,False,NtrC-2,0.8276326960640519,0.5504117068609418,NtrC+RpoN,0.34183430036883916,
NtrC-1,0.00517474555432218,18,Regulatory,Metabolism,Nitrogen Metabolism,"Nitrogen assimilation, ammonium transport",RpoN+RpoS+NtrC,3.0,1.5675383447644587e-27,2.327854530945104e-21,0.6857142857142857,0.6666666666666666,0.7058823529411765,12.0,17.0,5,,3.0,"[0, 1, 2]",and,,False,True,False,False,NtrC+RpoS,0.5877908572509867,0.35162898689467437,NtrC+RpoN,0.4447009853631561,
SCFA,0.00044845208755450727,4,Regulatory,Metabolism,Carbon Metabolism,Short-chain fatty acid (acetoacetate) transport and catabolism,RpoN+AtoC+IHF,3.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,5,,3.0,"[0, 1, 2]",and,,False,True,False,False,AtoC,0.7540787213666984,0.5072986993816305,AtoC,0.5767649864162435,0.33846027516367455
